,NAO(J),NAO,EA_WR,NP,NBRA,AMO(s),TNA,PWR,SWMRR,BEST,PNA,TNI,Hurricane activity,SR,AMM,AMO,SF,Niño(3),SOI,TSA,Niño(4),QBO,PDO,GMOT,Niño(3.4),EP_NP,AT,NOI,Niño(1+2),WHWP,CIP,TPI(IPO),Month,AO,WP,CAR,ONI,AAO,ENSO,MEI,GIAM,NTA
0,1.53,,,1009.12,-92.0,0.102,0.16,-0.622,0.38,0.26,,0.45399999999999996,0.0,-5.0,0.66,-0.019,1557.0,,,-0.22,,-4.44,-0.11,0.23,,,0.249,0.971,,-0.17,318.0,0.21,1,,,,,,,,,
1,0.66,,,1014.0,-80.0,0.10300000000000001,-0.01,-0.5489999999999999,1.6,0.43,,0.047,0.0,7.0,0.0,-0.032,1343.0,,,-0.12,,-5.78,-0.74,-0.09,,,-0.068,4.704,,-0.18,58.0,0.05,2,,,,,,,,,
2,3.48,,,1016.66,99.0,0.10300000000000001,0.25,-0.716,1.12,0.72,,-0.135,0.0,-6.0,1.0,0.024,1355.0,,,0.04,,-7.31,-0.03,-0.22,,,0.204,-0.8959999999999999,,0.26,37.0,-0.13,3,,,,,,,,,
3,-0.48,,,1020.68,-46.0,0.107,-0.13,-0.609,0.26,0.21,,-0.469,0.0,161.0,1.86,-0.07400000000000001,2081.0,,,-0.21,,-6.7,-1.33,-0.09,,,-0.371,-3.557,,-0.03,22.0,0.03,4,,,,,,,,,
4,-1.23,,,1016.02,-9.0,0.111,-0.07,-0.706,0.86,0.24,,-0.95,0.0,9.0,1.3,-0.008,2265.0,,,-0.4,,-5.57,-0.23,0.03,,,-0.585,-1.479,,-0.46,17.0,0.05,5,,,,,,,,,
5,-0.27,,,1015.45,48.0,0.114,0.12,-0.602,1.17,0.41,,-1.004,0.0,284.0,2.51,0.051,1955.0,,,-0.64,,-4.73,0.08,0.09,,,-0.363,-2.252,,-0.2,1395.0,-0.04,6,,,,,,,,,
6,0.59,,,1017.24,-36.0,0.11699999999999999,-0.06,-0.644,1.48,0.08,,-1.109,0.0,69.0,1.63,-0.044000000000000004,1828.0,,,-0.4,,-5.51,-0.92,-0.09,,,-0.379,-1.2770000000000001,,-1.6,3210.0,-0.25,7,,,,,,,,,
7,0.34,,,1017.84,-11.0,0.11900000000000001,-0.19,-0.599,2.02,0.25,,-0.91,5.5,277.0,0.55,-0.027000000000000003,1728.0,,,-0.53,,-7.22,-1.56,-0.09,,,-0.36,0.96,,-2.42,2603.0,-0.73,8,,,,,,,,,
8,0.82,,,1015.48,37.0,0.122,-0.22,-0.752,0.67,0.45,,-0.415,10.0,-105.0,-0.48,-0.057,1637.0,,,-0.41,,-7.24,-1.74,-0.01,,,-0.40700000000000003,0.369,,-1.81,1721.0,-0.44,9,,,,,,,,,
9,0.43,,,1010.82,18.0,0.122,-0.1,-0.6829999999999999,1.35,-0.64,,-0.312,4.5,-50.0,-0.24,0.003,1591.0,,,-0.42,,-6.07,-1.32,0.04,,,0.174,-0.315,,-2.02,280.0,-0.79,10,,,,,,,,,
10,2.64,,,1010.59,-65.0,0.124,0.08,-0.705,0.15,-0.21,,-0.354,0.75,-10.0,0.72,0.13,1654.0,,,-0.35,,-6.28,-0.89,-0.14,,,0.187,5.021,,-1.78,840.0,-0.13,11,,,,,,,,,
11,1.09,,,1014.17,-87.0,0.125,0.0,-0.55,1.19,0.58,,-0.304,0.0,-4.0,-0.93,0.057999999999999996,1933.0,,,-0.21,,-8.18,-1.7,-0.18,,,-0.171,2.2,,-0.28,5.0,0.31,12,,,,,,,,,
12,1.5,,,1012.0,-103.0,0.125,-0.24,-0.622,2.38,0.18,,0.018000000000000002,0.0,1.0,-0.2,0.149,1835.0,,,-0.19,,-9.77,-2.01,0.01,,,-0.105,5.43,,-0.13,10.0,-0.65,1,,,,,,,,,
13,4.01,,,1010.89,-29.0,0.12300000000000001,-0.15,-0.6679999999999999,0.65,0.13,,0.049,0.0,-7.0,-0.47,0.156,2202.0,,,0.01,,-11.8,-3.6,-0.29,,,-0.078,4.361000000000001,,-0.13,18.0,-0.16,2,,,,,,,,,
14,-0.96,,,1006.94,53.0,0.121,-0.31,-0.667,0.63,-0.55,,0.251,0.0,15.0,-1.13,0.034,2039.0,,,-0.01,,-11.72,-1.0,-0.09,,,-0.627,-1.439,,-0.29,5.0,-0.41,3,,,,,,,,,
15,3.41,,,1013.55,5.0,0.11699999999999999,-0.15,-0.759,0.89,0.15,,0.556,0.0,14.0,-1.22,0.094,1825.0,,,0.22,,-10.69,-0.53,-0.26,,,-0.013999999999999999,-0.154,,0.53,16.0,-0.15,4,,,,,,,,,
16,-1.39,,,1015.5,181.0,0.115,-0.46,-0.841,0.83,0.43,,0.44,0.0,-48.0,-1.88,-0.027999999999999997,1549.0,,,0.08,,-9.34,-1.07,-0.17,,,-0.518,-1.666,,-0.66,295.0,-0.1,5,,,,,,,,,
